"WID","login_count","level"
W11738,2,6
W11739,3,1
W11740,11,12
W11741,5,1
W11742,3,1
W11743,2,1
W11744,2,1
W11745,570,41
W11746,10,12
W11747,1479,47
W11748,2,1
W11749,340,29
W11750,5,1
W11751,3,1
W11752,3,1
W11753,6,1
W11754,3,1
W11755,4,8
W11756,44,14
W11757,3,1
W11758,5,10
W11759,74,24
W11760,13,16
W11761,29,19
W11762,24,10
W11763,2,1
W11764,29,17
W11765,1,1
W11766,11,3
W11767,17,1
W11768,14,21
W11769,11,1
W11770,42,16
W11771,2,1
W11772,3,1
W11773,16,10
W11774,13,17
W11775,2,1
W11776,4,1
W11777,11,1
W11778,45,26
W11779,1,1
W11780,3,1
W11781,2,1
W11782,26,12
W11783,1,1
W11784,5,2
W11785,2,1
W11786,7,10
W11787,3,1
W11788,19,6
W11789,159,37
W11790,55,25
W11791,7,12
W11792,2,1
W11793,30,9
W11794,5,1
W11795,13,6
W11796,2,1
W11797,1,1
W11798,12,10
W11799,2,1
W11800,5,2
W11801,3,1
W11802,9,17
W11803,6,9
W11804,3,1
W11805,78,23
W11806,14,8
W11807,2,1
W11808,1,1
W11809,2,9
W11810,4,1
W11811,7,1
W11812,4,1
W11813,46,16
W11814,61,14
W11815,2,1
W11816,52,11
W11817,9,2
W11818,3,1
W11819,305,36
W11820,61,18
W11821,3,2
W11822,41,25
W11823,25,12
W11824,67,23
W11825,24,22
W11826,89,22
W11827,2,1
W11828,7,5
W11829,458,36
W11830,13,18
W11831,5,1
W11832,18,10
W11833,1,1
W11834,8,13
W11835,3,1
W11836,59,25
W11837,200,30
W11838,24,6
W11839,6,1
W11840,1,1
W11841,53,21
W11842,3,2
W11843,13,17
W11844,1,1
W11845,2,1
W11846,2,1
W11847,71,21
W11848,109,39
W11849,16,17
W11850,3,1
W11851,12,13
W11852,8,3
W11853,1,1
W11854,7,9
W11855,427,27
W11856,2,1
W11857,5,10
W11858,1,1
W11859,2,1
W11860,2,1
W11861,3,1
W11862,18,13
W11863,20,15
W11864,13,1
W11865,5,1
W11866,2,1
W11867,6,16
W11868,20,11
W11869,38,18
W11870,5,1
W11871,12,5
W11872,1,1
W11873,7,13
W11874,8,14
W11875,10,13
W11876,123,31
W11877,1,1
W11878,4,5
W11879,3,5
W11880,395,42
W11881,24,22
W11882,23,16
W11883,5,1
W11884,1,1
W11885,5,6
W11886,8,16
W11887,26,18
W11888,6,5
W11889,5,1
W11890,11,16
W11891,46,26
W11892,5,2
W11893,12,8
W11894,70,31
W11895,1,1
W11896,22,16
W11897,233,34
W11898,16,5
W11899,96,35
W11900,4,6
W11901,11,6
W11902,32,18
W11903,1,1
W11904,14,4
W11905,40,23
W11906,13,3
W11907,3,1
W11908,32,17
W11909,6,9
W11910,4,3
W11911,77,30
W11912,65,25
W11913,15,24
W11914,1,1
W11915,6,10
W11916,3,1
W11917,14,14
W11918,9,15
W11919,2,1
W11920,7,13
W11921,2,1
W11922,8,2
W11923,10,1
W11924,1,1
W11925,2,2
W11926,54,20
W11927,2,1
W11928,4,8
W11929,4,1
W11930,38,21
W11931,9,10
W11932,1,1
W11933,3,3
W11934,4,5
W11935,147,24
W11936,8,1
W11937,37,22
W11938,52,29
W11939,47,21
W11940,14,10
W11941,522,26
W11942,2,5
W11943,21,10
W11944,3,1
W11945,10,1
W11946,31,25
W11947,4,1
W11948,46,22
W11949,2,1
W11950,4,1
W11951,18,10
W11952,4,1
W11953,8,12
W11954,2,6
W11955,29,14
W11956,7,8
W11957,9,9
W11958,22,9
W11959,19,14
W11960,2,1
W11961,10,9
W11962,1,1
W11963,624,45
W11964,2,1
W11965,18,1
W11966,2,1
W11967,37,9
W11968,805,46
W11969,2,1
W11970,54,13
W11971,1,1
W11972,70,25
W11973,5,9
W11974,40,19
W11975,111,28
W11976,263,34
W11977,18,12
W11978,32,21
W11979,41,27
W11980,3,1
W11981,2,1
W11982,2,1
W11983,2,1
W11984,28,5
W11985,1,1
W11986,2,1
W11987,12,5
W11988,264,35
W11989,6,3
W11990,2,1
W11991,16,1
W11992,9,12
W11993,769,53
W11994,81,34
W11995,8,9
W11996,45,17
W11997,43,14
W11998,4,5
W11999,18,19
W12000,7,1
W12001,3,3
W12002,2,1
W12003,15,13
W12004,13,13
W12005,11,15
W12006,17,14
W12007,1,1
W12008,2,6
W12009,3,2
W12010,15,17
W12011,171,37
W12012,29,23
W12013,10,1
W12014,3,1
W12015,2,1
W12016,6,1
W12017,75,29
W12018,37,13
W12019,189,32
W12020,14,12
W12021,4,1
W12022,65,29
W12023,2,1
W12024,20,19
W12025,74,21
W12026,18,11
W12027,6,1
W12028,3,1
W12029,3,4
W12030,22,21
W12031,1,1
W12032,83,27
W12033,458,47
W12034,46,28
W12035,24,20
W12036,588,47
W12037,2,1
W12038,551,48
W12039,62,15
W12040,6,10
W12041,14,3
W12042,13,2
W12043,2,1
W12044,280,35
W12045,2,1
W12046,88,17
W12047,2,6
W12048,2,1
W12049,29,10
W12050,27,12
W12051,71,33
W12052,120,34
W12053,236,33
W12054,2,1
W12055,8,7
W12056,19,12
W12057,28,11
W12058,4,6
W12059,953,54
W12060,4,8
W12061,2,1
W12062,65,23
W12063,1,1
W12064,7,9
W12065,10,14
W12066,35,19
W12067,2,1
W12068,3,1
W12069,6,3
W12070,132,25
W12071,1,1
W12072,7,8
W12073,3,1
W12074,6,6
W12075,45,16
W12076,11,18
W12077,15,12
W12078,76,36
W12079,6,8
W12080,56,24
W12081,5,10
W12082,6,4
W12083,98,27
W12084,48,21
W12085,3,1
W12086,4,6
W12087,6,1
W12088,8,1
W12089,52,13
W12090,32,17
W12091,30,27
W12092,1,1
W12093,9,14
W12094,1,1
W12095,45,8
W12096,4,6
W12097,2,1
W12098,3,1
W12099,11,10
W12100,1,1
W12101,5,1
W12102,3,1
W12103,1,1
W12104,1,1
W12105,7,4
W12106,15,10
W12107,3,1
W12108,7,3
W12109,2,5
W12110,24,19
W12111,5,6
W12112,18,8
W12113,5,8
W12114,3,3
W12115,1,1
W12116,7,12
W12117,24,14
W12118,63,22
W12119,5,5
W12120,24,19
W12121,2,1
W12122,61,24
W12123,29,17
W12124,85,31
W12125,2,1
W12126,4,1
W12127,2,1
W12128,36,2
W12129,19,12
W12130,5,1
W12131,18,17
W12132,36,26
W12133,46,16
W12134,43,20
W12135,168,41
W12136,5,2
W12137,13,13
W12138,13,2
W12139,16,1
W12140,2,1
W12141,15,7
W12142,2,6
W12143,7,13
W12144,28,24
W12145,2,1
W12146,8,7
W12147,17,14
W12148,2,6
W12149,2,5
W12150,5,1
W12151,3,6
W12152,6,2
W12153,2,1
W12154,1,1
W12155,36,18
W12156,10,1
W12157,1,1
W12158,3,1
W12159,11,8
W12160,15,12
W12161,2072,60
W12162,2,1
W12163,47,9
W12164,81,17
W12165,422,30
W12166,8,8
W12167,1,1
W12168,2,1
W12169,3,2
W12170,2,1
W12171,1,1
W12172,10,6
W12173,4,1
W12174,5,5
W12175,22,15
W12176,10,10
W12177,22,16
W12178,13,3
W12179,31,6
W12180,5,2
W12181,11,15
W12182,9,11
W12183,54,26
W12184,381,36
W12185,5,1
W12186,2,1
W12187,4,1
W12188,149,22
W12189,4,1
W12190,2,1
W12191,6,5
W12192,6,1
W12193,22,16
W12194,6,7
W12195,388,46
W12196,1,1
W12197,14,16
W12198,24,12
W12199,143,30
W12200,22,15
W12201,1,1
W12202,3,6
W12203,41,25
W12204,10,2
W12205,542,30
W12206,18,11
W12207,7,1
W12208,3,1
W12209,1,1
W12210,8,6
W12211,7,12
W12212,96,8
W12213,7,8
W12214,5,1
W12215,2,1
W12216,94,35
W12217,2,5
W12218,26,1
W12219,3,9
W12220,1,1
W12221,5,1
W12222,14,16
W12223,57,19
W12224,1,1
W12225,34,24
W12226,23,21
W12227,49,11
W12228,22,12
W12229,14,18
W12230,7,7
W12231,56,16
W12232,21,19
W12233,17,10
W12234,4,1
W12235,1,1
W12236,260,38
W12237,28,24
W12238,124,30
W12239,4,6
W12240,2,1
W12241,4,1
W12242,45,24
W12243,38,26
W12244,19,1
W12245,36,15
W12246,8,16
W12247,21,12
W12248,2,1
W12249,9,13
W12250,35,24
W12251,100,20
W12252,3,1
W12253,1,1
W12254,5,10
W12255,3,10
W12256,4,1
W12257,2,1
W12258,2,1
W12259,1535,52
W12260,3,6
W12261,27,13
W12262,4,1
W12263,888,44
W12264,6,2
W12265,31,21
W12266,5,1
W12267,3,8
W12268,4,2
W12269,34,18
W12270,119,15
W12271,4,2
W12272,3,4
W12273,4,1
W12274,206,37
W12275,5,3
W12276,8,8
W12277,40,18
W12278,22,12
W12279,7,4
W12280,2,1
W12281,2,1
W12282,4,1
W12283,5,1
W12284,4,2
W12285,24,2
W12286,1,1
W12287,5,1
W12288,3,1
W12289,18,10
W12290,3,10
W12291,3,1
W12292,4,2
W12293,21,20
W12294,60,27
W12295,53,30
W12296,3,1
W12297,1,1
W12298,28,9
W12299,760,28
W12300,158,26
W12301,2,1
W12302,11,8
W12303,12,9
W12304,5,1
W12305,5,8
W12306,6,8
W12307,29,25
W12308,11,1
W12309,26,23
W12310,28,2
W12311,6,1
W12312,53,31
W12313,3,1
W12314,2,1
W12315,1,1
W12316,23,12
W12317,20,7
W12318,27,11
W12319,9,1
W12320,5,1
W12321,13,10
W12322,3,1
W12323,6,3
W12324,6,1
W12325,4,2
W12326,1,1
W12327,76,30
W12328,99,27
W12329,3,1
W12330,32,10
W12331,4,9
W12332,57,21
W12333,179,37
W12334,2,1
W12335,680,42
W12336,4,9
W12337,34,18
W12338,4,10
W12339,61,20
W12340,97,23
W12341,5,6
W12342,1,1
W12343,22,12
W12344,5,13
W12345,1,1
W12346,7,6
W12347,8,11
W12348,8,9
W12349,4,1
W12350,9,12
W12351,2,1
W12352,10,6
W12353,2,1
W12354,160,35
W12355,39,20
W12356,71,24
W12357,252,42
W12358,3,1
W12359,259,26
W12360,3,6
W12361,3,1
W12362,5,9
W12363,5,1
W12364,221,31
W12365,1340,60
W12366,1,1
W12367,26,12
W12368,85,25
W12369,313,36
W12370,4,1
W12371,17,14
W12372,16,20
W12373,2,1
W12374,5,5
W12375,3,2
W12376,3,1
W12377,2,1
W12378,2,5
W12379,3,6
W12380,2,3
W12381,29,22
W12382,106,27
W12383,10,1
W12384,14,2
W12385,5,8
W12386,129,30
W12387,4,1
W12388,2,2
W12389,19,18
W12390,8,5
W12391,4,1
W12392,1,1
W12393,25,22
W12394,3,3
W12395,3,1
W12396,8,6
W12397,5,7
W12398,34,19
W12399,5,11
W12400,4,5
W12401,10,20
W12402,34,9
W12403,90,22
W12404,4,1
W12405,5,7
W12406,13,1
W12407,14,1
W12408,9,23
W12409,2,1
W12410,3682,46
W12411,245,35
W12412,47,37
W12413,27,25
W12414,13,15
W12415,4,1
W12416,9,5
W12417,73,32
W12418,9,19
W12419,4,3
W12420,45,10
W12421,336,37
W12422,26,18
W12423,20,5
W12424,3,1
W12425,268,36
W12426,24,22
W12427,2,1
W12428,38,23
W12429,3,1
W12430,8,4
W12431,20,12
W12432,3,1
W12433,1218,54
W12434,2,1
W12435,5,1
W12436,9,10
W12437,211,38
W12438,5,1
W12439,2,1
W12440,2,1
W12441,693,43
W12442,81,27
W12443,4,1
W12444,2,1
W12445,22,15
W12446,5,10
W12447,99,33
W12448,2,1
W12449,17,12
W12450,1,1
W12451,8,7
W12452,7,3
W12453,3,1
W12454,24,8
W12455,9,11
W12456,9,12
W12457,5,2
W12458,5,7
W12459,4,1
W12460,44,31
W12461,455,44
W12462,37,27
W12463,19,14
W12464,2,1
W12465,4,1
W12466,2,1
W12467,1,1
W12468,258,44
W12469,27,30
W12470,1,1
W12471,191,39
W12472,1,1
W12473,22,27
W12474,38,20
W12475,6,11
W12476,10,6
W12477,26,25
W12478,3,1
W12479,8,3
W12480,202,33
W12481,7,5
W12482,2,1
W12483,12,8
W12484,33,21
W12485,2,1
W12486,39,23
W12487,4,1
W12488,5,1
W12489,7,1
W12490,4,4
W12491,46,19
W12492,5,7
W12493,4,6
W12494,19,15
W12495,530,49
W12496,358,31
W12497,2,1
W12498,403,45
W12499,49,17
W12500,247,37
W12501,2,1
W12502,85,34
W12503,1,1
W12504,1,1
W12505,115,28
W12506,9,12
W12507,227,39
W12508,1,1
W12509,17,9
W12510,125,36
W12511,5,5
W12512,9,7
W12513,2,1
W12514,58,28
W12515,2,1
W12516,2,1
W12517,183,36
W12518,5,9
W12519,38,9
W12520,4,2
W12521,9,20
W12522,2,1
W12523,12,4
W12524,29,3
W12525,10,1
W12526,7,8
W12527,14,21
W12528,3,1
W12529,2,1
W12530,3,1
W12531,10,6
W12532,7,8
W12533,1,1
W12534,15,15
W12535,37,25
W12536,121,28
W12537,8,5
W12538,4,1
W12539,9,12
W12540,4,6
W12541,4,1
W12542,24,15
W12543,4,1
W12544,4,6
W12545,11,1
W12546,1,1
W12547,17,19
W12548,3,4
W12549,14,22
W12550,4,1
W12551,2,1
W12552,3,1
W12553,7,2
W12554,49,23
W12555,11,2
W12556,9,1
W12557,8,1
W12558,90,29
W12559,8,9
W12560,347,17
W12561,3,7
W12562,1,1
W12563,11,3
W12564,3,1
W12565,3,9
W12566,5,11
W12567,65,18
W12568,4,1
W12569,18,9
W12570,67,24
W12571,306,15
W12572,91,16
W12573,76,25
W12574,13,2
W12575,43,18
W12576,33,24
W12577,99,20
W12578,7,1
W12579,14,1
W12580,1,1
W12581,6,5
W12582,22,13
W12583,47,25
W12584,6,1
W12585,14,14
W12586,2,4
W12587,70,25
W12588,2,1
W12589,3,1
W12590,715,55
W12591,38,5
W12592,920,22
W12593,27,19
W12594,4,1
W12595,8,7
W12596,96,27
W12597,3,1
W12598,12,8
W12599,7,3
W12600,26,11
W12601,23,15
W12602,12,14
W12603,2,1
W12604,4,2
W12605,13,17
W12606,1,1
W12607,13,8
W12608,13,12
W12609,15,1
W12610,1,1
W12611,1,1
W12612,67,24
W12613,2,5
W12614,2,6
W12615,2,1
W12616,13,10
W12617,9,16
W12618,1082,56
W12619,2,1
W12620,44,27
W12621,3,2
W12622,3,12
W12623,7,11
W12624,2,6
W12625,10,13
W12626,25,25
W12627,14,9
W12628,9,17
W12629,328,41
W12630,5,2
W12631,14,10
W12632,15,8
W12633,6,5
W12634,1,1
W12635,5,8
W12636,18,19
W12637,5,2
W12638,4,1
W12639,19,14
W12640,6,1
W12641,17,18
W12642,3,1
W12643,3,1
W12644,13,12
W12645,2,1
W12646,5,10
W12647,3,1
W12648,1,1
W12649,125,32
W12650,15,9
W12651,209,9
W12652,5,10
W12653,22,18
W12654,22,10
W12655,31,15
W12656,4,1
W12657,4,6
W12658,14,4
W12659,12,9
W12660,60,23
W12661,23,1
W12662,8,6
W12663,7,6
W12664,4,1
W12665,1,1
W12666,7,12
W12667,8,1
W12668,14,3
W12669,13,2
W12670,7,9
W12671,16,12
W12672,4,1
W12673,7,2
W12674,2,1
W12675,85,25
W12676,5,7
W12677,6,2
W12678,488,41
W12679,1,1
W12680,23,22
W12681,3,2
W12682,16,19
W12683,1218,51
W12684,9,17
W12685,5,1
W12686,44,22
W12687,4,9
W12688,102,19
W12689,1,1
W12690,2,1
W12691,2,1
W12692,2,1
W12693,148,31
W12694,20,11
W12695,1,1
W12696,4,1
W12697,56,20
W12698,18,14
W12699,4,1
W12700,73,35
W12701,28,12
W12702,146,28
W12703,8,10
W12704,77,24
W12705,27,2
W12706,14,6
W12707,2,1
W12708,131,16
W12709,451,39
W12710,47,29
W12711,110,26
W12712,1,1
W12713,4,1
W12714,6,6
W12715,73,20
W12716,1,1
W12717,2,1
W12718,4,1
W12719,1,1
W12720,29,21
W12721,12,12
W12722,2,1
W12723,3,1
W12724,7,9
W12725,1,1
W12726,19,15
W12727,2,1
W12728,45,14
W12729,4,1
W12730,1,1
W12731,8,2
W12732,2,1
W12733,203,42
W12734,101,23
W12735,26,22
W12736,14,15
W12737,7,1
W12738,3,1
W12739,8,12
W12740,8,5
W12741,16,12
W12742,79,2
W12743,73,28
W12744,10,2
W12745,34,23
W12746,10,1
W12747,1,1
W12748,3,1
W12749,8,11
W12750,3,1
W12751,23,16
W12752,8,6
W12753,152,32
W12754,2,7
W12755,2,1
W12756,40,20
W12757,1,1
W12758,76,23
W12759,4,11
W12760,2,1
W12761,14,23
W12762,9,3
W12763,1,1
W12764,1,1
W12765,3,6
W12766,2,2
W12767,1,1
W12768,24,18
W12769,2,1
W12770,1084,54
W12771,29,21
W12772,8,11
W12773,5,9
W12774,44,20
W12775,2,2
W12776,2,1
W12777,2,8
W12778,14,9
W12779,16,17
W12780,33,25
W12781,16,9
W12782,4,6
W12783,3,1
W12784,2,1
W12785,7,1
W12786,1070,54
W12787,76,28
W12788,5,6
W12789,9,9
W12790,10,1
W12791,2,1
W12792,6,2
W12793,48,19
W12794,810,39
W12795,4,1
W12796,181,37
W12797,105,15
W12798,111,29
W12799,9,17
W12800,2319,43
W12801,25,18
W12802,2,1
W12803,70,28
W12804,1,1
W12805,17,20
W12806,9,1
W12807,3,1
W12808,6,13
W12809,35,16
W12810,119,30
W12811,147,29
W12812,1,1
W12813,28,14
W12814,170,34
W12815,2,1
W12816,6,6
W12817,2,5
W12818,5,6
W12819,16,1
W12820,19,14
W12821,19,6
W12822,23,13
W12823,5,6
W12824,96,21
W12825,3,4
W12826,433,11
W12827,41,10
W12828,10,12
W12829,4,1
W12830,81,22
W12831,14,14
W12832,2,1
W12833,4,6
W12834,2,1
W12835,8,10
W12836,1,1
W12837,13,17
W12838,8,2
W12839,2,1
W12840,10,2
W12841,3,8
W12842,1,1
W12843,180,22
W12844,4,1
W12845,1,1
W12846,7,1
W12847,10,9
W12848,2,1
W12849,39,9
W12850,426,44
W12851,12,1
W12852,1,1
W12853,236,45
W12854,10,15
W12855,3,1
W12856,5,1
W12857,1,1
W12858,61,20
W12859,6,1
W12860,68,25
W12861,23,16
W12862,3,1
W12863,57,34
W12864,34,16
W12865,3,1
W12866,4,1
W12867,1,1
W12868,27,20
W12869,3,6
W12870,45,10
W12871,53,8
W12872,399,31
W12873,445,28
W12874,12,22
W12875,4,1
W12876,1,1
W12877,235,33
W12878,2,1
W12879,9,5
W12880,7,7
W12881,285,50
W12882,3,3
W12883,9,3
W12884,2,1
W12885,183,39
W12886,13,9
W12887,1,1
W12888,38,20
W12889,29,13
W12890,2,1
W12891,9,1
W12892,2,6
W12893,46,29
W12894,2,1
W12895,2,1
W12896,46,22
W12897,16,13
W12898,123,34
W12899,1,1
W12900,89,27
W12901,2,1
W12902,110,39
W12903,4,1
W12904,16,10
W12905,5,13
W12906,2,1
W12907,320,35
W12908,6,17
W12909,5,1
W12910,10,1
W12911,83,25
W12912,40,22
W12913,10,14
W12914,9,2
W12915,40,14
W12916,2,1
W12917,10,5
W12918,6,1
W12919,162,29
W12920,13,11
W12921,2,1
W12922,2,1
W12923,1,1
W12924,3,1
W12925,5,8
W12926,125,19
W12927,5,2
W12928,4,1
W12929,35,19
W12930,5,1
W12931,12,1
W12932,10,1
W12933,16,5
W12934,5,6
W12935,266,42
W12936,5,1
W12937,6,5
W12938,2,1
W12939,1,1
W12940,2,1
W12941,11,12
W12942,3,1
W12943,74,23
W12944,3,1
W12945,5,6
W12946,157,28
W12947,5,1
W12948,4,6
W12949,55,16
W12950,2,7
W12951,2,6
W12952,139,30
W12953,188,33
W12954,3,2
W12955,5,4
W12956,4,1
W12957,16,1
W12958,1,1
W12959,6,4
W12960,1,1
W12961,7,3
W12962,13,5
W12963,14,20
W12964,12,9
W12965,4,6
W12966,92,25
W12967,7,10
W12968,16,12
W12969,4,4
W12970,1900,54
W12971,2,1
W12972,1,1
W12973,3,1
W12974,2,1
W12975,2,1
W12976,2,1
W12977,6,2
W12978,10,3
W12979,20,14
W12980,98,26
W12981,1,1
W12982,60,23
W12983,35,6
W12984,10,4
W12985,6,12
W12986,38,22
W12987,1,1
W12988,4,9
W12989,28,11
W12990,5,4
W12991,6,5
W12992,2,1
W12993,2,1
W12994,9,12
W12995,13,4
W12996,3,1
W12997,652,45
W12998,6,11
W12999,3,1
W13000,72,16
W13001,2,1
W13002,33,5
W13003,4,1
W13004,7,4
W13005,3,3
W13006,67,25
W13007,35,24
W13008,342,40
W13009,3,1
W13010,21,16
W13011,109,19
W13012,8,1
W13013,3,1
W13014,7,11
W13015,6,1
W13016,5,11
W13017,2,1
W13018,2,2
W13019,68,31
W13020,4,7
W13021,1560,52
W13022,8,5
W13023,9,1
W13024,12,8
W13025,114,5
W13026,1,1
W13027,14,13
W13028,5,2
W13029,32,21
W13030,11,19
W13031,8,2
W13032,21,4
W13033,6,4
W13034,1,1
W13035,2,1
W13036,10,11
W13037,29,16
W13038,34,22
W13039,37,12
W13040,2,1
W13041,7,3
W13042,5,1
W13043,2,1
W13044,7,7
W13045,3,1
W13046,80,33
W13047,7,1
W13048,23,15
W13049,4,7
W13050,2,1
W13051,4,1
W13052,151,32
W13053,1,1
W13054,41,28
W13055,5,1
W13056,2,1
W13057,7,5
W13058,4,1
W13059,83,18
W13060,4,1
W13061,12,1
W13062,9,13
W13063,14,9
W13064,3,1
W13065,1,1
W13066,212,37
W13067,714,47
W13068,7,2
W13069,64,17
W13070,9,7
W13071,3,3
W13072,4,1
W13073,6,2
W13074,1,1
W13075,2,1
W13076,241,46
W13077,1386,56
W13078,10,13
W13079,472,34
W13080,5,4
W13081,1,1
W13082,17,12
W13083,94,31
W13084,26,6
W13085,5,1
W13086,6,1
W13087,20,22
W13088,3,6
W13089,6,2
W13090,4,1
W13091,15,16
W13092,8,15
W13093,330,34
W13094,3,1
W13095,16,16
W13096,1,1
W13097,3,5
W13098,182,18
W13099,9,1
W13100,1,1
W13101,7,12
W13102,324,23
W13103,2,1
W13104,3,6
W13105,32,21
W13106,4,6
W13107,1,1
W13108,10,2
W13109,7,1
W13110,7,1
W13111,1,1
W13112,27,25
W13113,46,13
W13114,17,20
W13115,7,12
W13116,23,2
W13117,3,1
W13118,6,4
W13119,249,39
W13120,8,2
W13121,114,5
W13122,1,1
W13123,1,1
W13124,3,10
W13125,12,8
W13126,13,1
W13127,19,1
W13128,115,29
W13129,1,1
W13130,10,10
W13131,47,20
W13132,3,1
W13133,3,1
W13134,5,16
W13135,3,1
W13136,6,9
W13137,77,31
W13138,38,18
W13139,2,5
W13140,1,1
W13141,115,32
W13142,3,1
W13143,216,36
W13144,17,18
W13145,7,13
W13146,1,1
W13147,7,18
W13148,16,2
W13149,6,1
W13150,140,30
W13151,33,22
W13152,2,1
W13153,61,17
W13154,397,43
W13155,2,1
W13156,5,7
W13157,3,1
W13158,1,1
W13159,2,1
W13160,10,6
W13161,260,31
W13162,85,26
W13163,5,1
W13164,291,36
W13165,13,1
W13166,9,12
W13167,2,1
W13168,21,14
W13169,5,1
W13170,2,1
W13171,4,6
W13172,23,17
W13173,53,24
W13174,1,1
W13175,52,25
W13176,5,1
W13177,38,18
W13178,6,9
W13179,48,33
W13180,532,42
W13181,10,11
W13182,11,14
W13183,17,17
W13184,2,1
W13185,3,1
W13186,335,51
W13187,6,11
W13188,2,10
W13189,95,24
W13190,11,10
W13191,14,14
W13192,12,4
W13193,3,1
W13194,61,15
W13195,4,1
W13196,4,2
W13197,56,9
W13198,51,22
W13199,50,20
W13200,15,10
W13201,28,11
W13202,5,2
W13203,3,4
W13204,2,1
W13205,60,20
W13206,2,1
W13207,58,19
W13208,2,1
W13209,24,17
W13210,19,15
W13211,24,26
W13212,41,19
W13213,12,22
W13214,3,1
W13215,4,1
W13216,222,26
W13217,11,7
W13218,6,7
W13219,16,8
W13220,21,15
W13221,2,1
W13222,4,8
W13223,1674,59
W13224,11,7
W13225,9,14
W13226,15,15
W13227,1,1
W13228,1,1
W13229,6,8
W13230,11,8
W13231,2,1
W13232,48,30
W13233,8,4
W13234,2,6
W13235,11,1
W13236,1,1
W13237,1,1
W13238,5,7
W13239,29,25
W13240,3,1
W13241,7,13
W13242,11,15
W13243,2,1
W13244,54,29
W13245,12,20
W13246,3,5
W13247,146,30
W13248,3,6
W13249,1,1
W13250,2,1
W13251,2,1
W13252,2,1
W13253,5,2
W13254,44,14
W13255,1,1
W13256,1,1
W13257,1,1
W13258,18,9
W13259,5,1
W13260,2,1
W13261,59,22
W13262,164,37
W13263,14,7
W13264,227,37
W13265,5,6
W13266,6,13
W13267,4,1
W13268,1,1
W13269,23,13
W13270,4,1
W13271,4,7
W13272,57,17
W13273,1,1
W13274,8,16
W13275,163,37
W13276,2,1
W13277,2581,58
W13278,18,23
W13279,2,1
W13280,1,1
W13281,15,3
W13282,32,6
W13283,617,49
W13284,5,1
W13285,8,2
W13286,19,12
W13287,8,14
W13288,47,18
W13289,2,1
W13290,29,2
W13291,13,13
W13292,6,3
W13293,3,1
W13294,30,19
W13295,7,1
W13296,22,1
W13297,1,1
W13298,4,1
W13299,4,1
W13300,24,12
W13301,57,21
W13302,3,1
W13303,2,1
W13304,126,24
W13305,26,14
W13306,14,7
W13307,662,15
W13308,24,14
W13309,2,1
W13310,2,1
W13311,3,1
W13312,3227,45
W13313,4,2
W13314,4,1
W13315,4,1
W13316,2333,60
W13317,620,40
W13318,5,1
W13319,8,2
W13320,107,29
W13321,48,16
W13322,14,11
W13323,7,3
W13324,2,1
W13325,17,2
W13326,2,1
W13327,27,18
W13328,1,1
W13329,18,2
W13330,11,8
W13331,2,1
W13332,4,2
W13333,287,27
W13334,2,5
W13335,4,1
W13336,4,1
W13337,15,8
W13338,24,13
W13339,137,23
W13340,71,24
W13341,19,15
W13342,1,1
W13343,1,1
W13344,2,1
W13345,130,31
W13346,3,8
W13347,24,13
W13348,21,13
W13349,74,24
W13350,1,1
W13351,94,24
W13352,59,22
W13353,323,32
W13354,4,1
W13355,10,12
W13356,2,1
W13357,6,2
W13358,67,28
W13359,4,6
W13360,59,24
W13361,129,23
W13362,44,23
W13363,11,3
W13364,8,15
W13365,4,1
W13366,40,17
W13367,3,4
W13368,4,5
W13369,3,1
W13370,3,1
W13371,4,1
W13372,139,29
W13373,49,17
W13374,18,12
W13375,6,1
W13376,2,6
W13377,16,10
W13378,1,1
W13379,1,1
W13380,83,27
W13381,1,1
W13382,4,1
W13383,6,1
W13384,307,41
W13385,25,11
W13386,8,13
W13387,3,1
W13388,3,6
W13389,7,1
W13390,8,1
W13391,18,9
W13392,11,15
W13393,9,1
W13394,1,1
W13395,1,1
W13396,10,1
W13397,1,1
W13398,6,1
W13399,6,10
W13400,155,41
W13401,15,1
W13402,1,1
W13403,5,2
W13404,206,32
W13405,8,6
W13406,26,16
W13407,6,3
W13408,53,16
W13409,121,30
W13410,19,15
W13411,19,13
W13412,2,1
W13413,1,1
W13414,2,5
W13415,557,31
W13416,2,1
W13417,2081,43
W13418,4,5
W13419,340,39
W13420,1,1
W13421,1,1
W13422,2,1
W13423,107,29
W13424,14,5
W13425,2,1
W13426,8,15
W13427,8,6
W13428,43,11
W13429,14,12
W13430,392,40
W13431,4,1
W13432,25,9
W13433,48,12
W13434,2,1
W13435,2,5
W13436,3,1
W13437,34,19
W13438,13,12
W13439,5,1
W13440,29,14
W13441,77,21
W13442,41,14
W13443,2,1
W13444,1,1
W13445,189,22
W13446,72,25
W13447,7,10
W13448,4,1
W13449,12,15
W13450,2,1
W13451,4,8
W13452,97,34
W13453,31,5
W13454,1,1
W13455,5,7
W13456,1,1
W13457,11,14
W13458,4,5
W13459,650,38
W13460,32,12
W13461,53,24
W13462,11,8
W13463,33,28
W13464,34,15
W13465,109,24
W13466,5,6
W13467,73,19
W13468,5,1
W13469,11,14
W13470,45,17
W13471,21,17
W13472,37,15
W13473,11,2
W13474,2,1
W13475,230,26
W13476,1166,57
W13477,14,13
W13478,1,1
W13479,5,7
W13480,1,1
W13481,553,43
W13482,4,5
W13483,2,1
