"WID","login_count","level","playcount_sum","playtime_sum"
W10318,20,12,2,1822
W10319,9,11,5,3430
W10320,1,1,1,1501
W10321,3,7,5,2068
W10322,12,9,3,3866
W10323,15,15,14,11913
W10324,7,7,2,2398
W10326,29,18,11,12877
W10327,2,1,3,3153
W10328,3,6,2,1634
W10329,19,14,8,7584
W10331,5,8,3,3527
W10332,4,10,1,763
W10333,28,14,2,509
W10334,51,24,66,36026
W10335,16,11,6,5639
W10337,21,18,18,16406
W10338,54,16,4,3814
W10339,127,17,9,9519
W10340,12,14,5,3777
W10341,75,15,24,16681
W10342,7,3,14,4396
W10343,5,5,1,846
W10344,45,16,8,5056
W10345,2,2,1,0
W10346,13,2,1,1345
W10347,36,26,51,43232
W10349,405,38,409,248853
W10350,107,37,185,169052
W10352,28,19,10,12699
W10353,9,12,7,5606
W10354,9,12,14,9456
W10355,7,7,1,1527
W10356,1,1,1,1540
W10358,1,1,4,5640
W10360,4,2,1,103
W10361,3,8,5,3076
W10362,13,18,17,17348
W10363,130,39,330,194915
W10364,1,1,1,319
W10365,5,5,3,1566
W10366,32,15,13,9498
W10367,50,22,34,31745
W10368,329,43,534,432385
W10369,3,14,23,13624
W10373,11,16,11,9263
W10374,39,31,104,73450
W10376,17,16,6,4481
W10378,118,20,20,11830
W10379,2311,65,5173,2424445
W10380,2923,59,4839,2584253
W10381,370,44,378,257834
W10384,3,1,1,725
W10385,11,11,3,2993
W10386,30227,59,3068,2534653
W10387,60,25,68,44762
W10388,1,1,1,216
W10389,16,11,20,6446
W10392,34,19,66,26670
W10393,10,17,10,9081
W10394,10,13,3,3876
W10395,10,14,7,5730
W10396,242,29,138,84107
W10398,4628,57,5790,2338518
W10400,5,8,2,2132
W10402,29,18,28,14563
W10403,12,11,3,784
W10404,60,22,40,27201
W10405,4,3,1,240
W10406,3,7,1,1655
W10407,97,29,164,103932
W10409,131,21,81,34380
W10410,5,9,4,3560
W10411,12,6,4,976
W10412,32,17,21,9814
W10415,393,37,640,305662
W10417,4,8,2,1530
W10418,3,1,3,3602
W10419,7,11,4,4296
W10420,8,9,1,800
W10422,5,8,9,5382
W10423,393,37,640,305662
W10424,204,35,125,133743
W10425,196,30,125,77668
W10427,15,14,8,5588
W10428,914,52,1062,819458
W10429,18,17,20,21281
W10430,17,15,9,11385
W10431,2,1,1,1717
W10432,1,1,2,2010
W10434,624,42,822,392375
W10435,91,28,92,60456
W10436,14,6,12,3648
W10440,6,12,4,5248
W10441,14,21,18,17187
W10442,29,22,95,52215
W10445,247,29,23,19514
W10446,4,4,3,784
