"WID","login_count","level","playcount_sum","playtime_sum"
W12758,76,23,75,39916
W12759,4,11,23,11401
W12761,14,23,55,54388
W12762,9,3,3,1024
W12765,3,6,2,3357
W12766,2,2,2,1996
W12768,24,18,15,11089
W12769,2,1,1,235
W12770,1084,54,2340,1257107
W12771,29,21,13,18538
W12772,8,11,6,8923
W12773,5,9,5,6192
W12774,44,20,52,24356
W12775,2,2,2,1766
W12777,2,8,3,4071
W12778,14,9,10,9496
W12779,16,17,18,17568
W12780,33,25,44,36960
W12781,16,9,7,4889
W12782,4,6,3,2643
W12785,7,1,3,1842
W12786,1070,54,2433,1158341
W12787,76,28,38,37434
W12788,5,6,1,1526
W12789,9,9,6,4624
W12792,6,2,1,61
W12793,48,19,32,17660
W12794,810,39,170,96685
W12795,4,1,4,4092
W12796,181,37,120,107664
W12797,105,15,33,23953
W12798,111,29,63,65912
W12799,9,17,9,11485
W12800,2319,43,2001,845346
W12801,25,18,26,19534
W12802,2,1,2,2477
W12803,70,28,74,66577
W12805,17,20,35,28986
W12806,9,1,1,1485
W12807,3,1,1,551
W12808,6,13,10,10991
W12809,35,16,11,11014
W12810,119,30,141,66496
W12811,147,29,171,80993
W12813,28,14,15,10915
W12814,170,34,199,179351
W12815,2,1,2,976
W12816,6,6,1,1498
W12817,2,5,1,1604
W12818,5,6,8,4580
W12819,16,1,1,1021
W12820,19,14,15,16789
W12821,19,6,4,3684
W12822,23,13,1,541
W12823,5,6,1,1017
W12824,96,21,92,44365
W12825,3,4,1,1477
W12826,433,11,2,855
W12827,41,10,2,2787
W12828,10,12,8,6034
W12830,81,22,16,8225
W12831,14,14,8,8217
W12833,4,6,2,2226
W12835,8,10,4,4804
W12836,1,1,1,1621
W12837,13,17,8,11896
W12839,2,1,2,2622
W12841,3,8,4,2551
W12843,180,22,67,39887
W12845,1,1,1,1759
W12846,7,1,1,601
W12847,10,9,4,4976
W12849,39,9,2,2396
W12850,426,44,507,464380
W12852,1,1,3,3782
W12853,236,45,253,269678
W12854,10,15,9,8521
W12855,3,1,1,60
W12856,5,1,1,1206
W12858,61,20,32,8755
W12859,6,1,1,635
W12860,68,25,68,55222
W12861,23,16,75,27980
W12862,3,1,1,517
W12863,57,34,71,71666
W12864,34,16,19,14407
W12865,3,1,1,1413
W12867,1,1,1,1030
W12868,27,20,27,25295
W12869,3,6,1,1572
W12870,45,10,21,9089
W12871,53,8,2,2322
W12872,399,31,245,208954
W12873,445,28,105,92848
W12874,12,22,14,18518
W12875,4,1,2,1846
W12877,235,33,235,90753
W12879,9,5,18,8127
W12880,7,7,4,3218
W12881,285,50,641,411328
W12882,3,3,1,244
W12883,9,3,4,3021
W12885,183,39,144,164607
W12886,13,9,2,2844
W12887,1,1,3,2850
W12888,38,20,35,31953
W12889,29,13,10,10532
W12890,2,1,1,542
W12891,9,1,1,543
W12892,2,6,2,3006
W12893,46,29,70,40177
W12894,2,1,1,1116
W12895,2,1,1,545
W12896,46,22,30,26530
W12897,16,13,8,8872
W12898,123,34,181,183995
W12900,89,27,138,69252
W12902,110,39,269,157671
W12904,16,10,4,1469
W12905,5,13,5,7055
W12907,320,35,316,120692
W12908,6,17,10,9370
W12911,83,25,47,24392
W12912,40,22,66,35124
W12913,10,14,7,5150
W12914,9,2,2,690
W12915,40,14,8,7282
W12917,10,5,2,1213
W12918,6,1,1,801
W12919,162,29,66,46492
W12920,13,11,4,4387
W12925,5,8,3,4622
W12926,125,19,125,46915
W12927,5,2,1,548
W12928,4,1,3,2271
W12929,35,19,38,15818
W12931,12,1,1,468
W12933,16,5,2,1120
W12934,5,6,3,3379
W12935,266,42,292,244851
W12936,5,1,1,89
W12937,6,5,2,2165
W12940,2,1,1,738
W12941,11,12,4,3343
W12943,74,23,32,22506
W12944,3,1,1,139
W12945,5,6,2,2051
W12946,157,28,170,88337
W12947,5,1,1,0
W12948,4,6,1,1525
W12949,55,16,30,20354
W12950,2,7,2,2185
W12951,2,6,1,1671
W12952,139,30,81,42943
W12953,188,33,55,37569
W12954,3,2,4,2049
W12955,5,4,1,757
W12958,1,1,1,1478
W12959,6,4,2,1201
W12961,7,3,5,2984
W12962,13,5,6,1396
W12963,14,20,20,16885
W12964,12,9,5,5590
W12965,4,6,1,1526
W12966,92,25,7,8084
W12967,7,10,3,3561
W12968,16,12,21,14592
W12969,4,4,8,1984
W12970,1900,54,1676,832643
W12975,2,1,1,500
W12976,2,1,1,489
W12977,6,2,1,558
W12978,10,3,2,623
W12979,20,14,10,6267
W12980,98,26,37,24318
W12981,1,1,2,3167
W12982,60,23,4,6162
W12983,35,6,7,5983
W12984,10,4,2,1265
W12985,6,12,4,6090
W12986,38,22,54,30381
W12987,1,1,2,3035
W12988,4,9,4,5109
W12989,28,11,20,10874
W12990,5,4,1,701
W12991,6,5,3,3641
W12993,2,1,1,699
W12994,9,12,9,9161
W12995,13,4,3,2483
W12997,652,45,1365,486015
W12998,6,11,5,6244
W12999,3,1,1,508
W13000,72,16,49,25669
W13002,33,5,3,1664
W13004,7,4,2,1583
W13005,3,3,3,1531
W13006,67,25,119,42631
W13007,35,24,37,32873
W13008,342,40,233,176558
W13009,3,1,1,1584
W13010,21,16,11,8248
W13011,109,19,18,21414
W13013,3,1,2,2112
W13014,7,11,4,2618
W13016,5,11,6,9154
W13019,68,31,64,69833
W13020,4,7,3,2483
W13021,1560,52,3400,1383580
W13022,8,5,2,1889
W13024,12,8,8,4570
W13025,114,5,3,1485
W13027,14,13,7,6763
W13028,5,2,2,658
W13029,32,21,54,28216
W13030,11,19,17,23775
W13031,8,2,3,391
W13032,21,4,1,490
W13033,6,4,1,733
W13036,10,11,7,6414
W13037,29,16,21,18070
W13038,34,22,31,22196
W13039,37,12,4,3152
W13041,7,3,1,546
W13043,2,1,1,1258
W13044,7,7,4,4236
W13045,3,1,1,89
W13046,80,33,72,67879
W13048,23,15,29,13215
W13049,4,7,3,3286
W13051,4,1,1,437
W13052,151,32,104,98349
W13054,41,28,76,39288
W13055,5,1,1,1211
W13056,2,1,1,403
W13057,7,5,6,1596
W13059,83,18,28,22035
W13060,4,1,2,2104
W13062,9,13,6,5971
W13063,14,9,3,498
W13066,212,37,208,174176
W13067,714,47,597,291852
W13068,7,2,2,657
W13069,64,17,111,41260
W13070,9,7,1,1580
W13071,3,3,3,1002
W13073,6,2,1,513
W13074,1,1,1,420
W13076,241,46,694,380820
W13077,1386,56,3659,1702203
W13078,10,13,8,5255
W13079,472,34,363,122349
W13080,5,4,6,5344
W13082,17,12,7,4536
W13083,94,31,72,84121
W13084,26,6,8,6473
W13087,20,22,32,39102
W13088,3,6,2,2113
W13089,6,2,3,1093
W13090,4,1,2,456
W13091,15,16,12,14601
W13092,8,15,12,15733
W13093,330,34,462,192334
W13095,16,16,10,11117
W13097,3,5,1,1495
W13098,182,18,215,120744
W13099,9,1,1,370
W13100,1,1,1,1544
W13101,7,12,5,5363
W13102,324,23,51,45415
W13104,3,6,1,1709
W13105,32,21,19,25015
W13106,4,6,2,1962
W13108,10,2,1,159
W13109,7,1,3,2170
W13112,27,25,36,38586
W13113,46,13,7,4790
W13114,17,20,11,13148
W13115,7,12,7,4592
W13116,23,2,7,3608
W13117,3,1,1,834
W13118,6,4,2,377
W13119,249,39,404,202200
W13120,8,2,3,3609
W13121,114,5,3,2521
W13123,1,1,3,3394
W13124,3,10,2,3062
W13125,12,8,4,4074
W13128,115,29,153,62262
W13129,1,1,1,1608
W13130,10,10,5,6085
W13131,47,20,47,19868
W13132,3,1,1,2087
W13134,5,16,19,24671
W13136,6,9,3,3524
W13137,77,31,210,108433
W13138,38,18,13,8577
W13139,2,5,1,1530
W13141,115,32,193,90241
W13142,3,1,1,0
W13143,216,36,133,127777
W13144,17,18,11,14621
W13145,7,13,7,7722
W13147,7,18,16,19927
W13150,140,30,234,105923
W13151,33,22,41,25757
W13152,2,1,1,1543
W13153,61,17,58,31023
W13154,397,43,697,317904
W13155,2,1,1,535
W13156,5,7,3,4775
W13157,3,1,1,90
W13158,1,1,1,1825
W13160,10,6,2,2156
W13161,260,31,260,111257
W13162,85,26,134,76059
W13163,5,1,2,2934
W13164,291,36,505,227105
W13166,9,12,9,5935
W13170,2,1,2,1939
W13171,4,6,4,3307
W13172,23,17,20,22661
W13173,53,24,125,49039
W13174,1,1,1,1556
W13175,52,25,40,32313
W13176,5,1,4,3132
W13177,38,18,31,16390
W13178,6,9,5,4539
W13179,48,33,82,49346
W13180,532,42,749,342210
W13181,10,11,6,6260
W13182,11,14,4,2861
W13183,17,17,27,23519
W13186,335,51,857,508892
W13187,6,11,6,6984
W13188,2,10,7,3851
W13189,95,24,117,46387
W13190,11,10,6,4376
W13191,14,14,19,8622
W13192,12,4,2,397
W13193,3,1,1,1546
W13194,61,15,14,5376
W13197,56,9,2,2809
W13198,51,22,42,33692
W13199,50,20,14,7899
W13200,15,10,13,10208
W13201,28,11,27,12024
W13202,5,2,3,1176
W13203,3,4,1,871
W13205,60,20,35,23374
W13206,2,1,1,503
W13207,58,19,6,4859
W13209,24,17,5,4491
W13210,19,15,14,12666
W13211,24,26,34,31017
W13212,41,19,27,17190
W13213,12,22,22,22081
W13214,3,1,1,1578
W13216,222,26,179,79005
W13217,11,7,4,2951
W13218,6,7,6,7418
W13219,16,8,1,404
W13220,21,15,17,9893
W13222,4,8,5,5615
W13223,1674,59,3100,1389689
W13224,11,7,2,2093
W13225,9,14,15,12577
W13226,15,15,25,12523
W13228,1,1,1,1551
W13229,6,8,6,7596
W13230,11,8,6,5609
W13231,2,1,1,1677
W13232,48,30,50,55823
W13233,8,4,4,3045
W13234,2,6,2,3101
W13235,11,1,2,1368
W13238,5,7,5,7255
W13239,29,25,28,32187
W13240,3,1,2,904
W13241,7,13,7,9226
W13242,11,15,13,9350
W13243,2,1,3,4788
W13244,54,29,38,40730
W13245,12,20,13,13284
W13246,3,5,1,1562
W13247,146,30,102,64127
W13248,3,6,1,1505
W13249,1,1,1,945
W13250,2,1,1,267
W13253,5,2,1,619
W13254,44,14,27,17511
W13256,1,1,1,970
W13259,5,1,1,533
W13261,59,22,1,0
W13262,164,37,156,108044
W13263,14,7,1,1716
W13264,227,37,228,135849
W13265,5,6,3,2157
W13266,6,13,2,2999
W13269,23,13,1,806
W13270,4,1,1,601
W13271,4,7,6,3526
W13272,57,17,15,11455
W13274,8,16,17,19172
W13275,163,37,195,123482
W13277,2581,58,3553,1426084
W13278,18,23,17,20042
W13279,2,1,1,1510
W13282,32,6,6,6542
W13283,617,49,1133,634547
W13284,5,1,2,894
W13285,8,2,1,726
W13286,19,12,7,6437
W13287,8,14,12,15320
W13288,47,18,16,16896
W13290,29,2,3,2634
W13291,13,13,11,6994
W13292,6,3,2,2160
W13293,3,1,1,0
W13294,30,19,12,10637
W13295,7,1,1,1544
W13296,22,1,5,2975
W13299,4,1,2,1585
W13300,24,12,20,9687
W13301,57,21,43,43894
W13302,3,1,1,839
W13304,126,24,161,64932
W13305,26,14,15,13174
W13306,14,7,2,2172
W13307,662,15,23,12967
W13308,24,14,2,809
W13309,2,1,1,479
W13310,2,1,1,472
W13312,3227,45,449,317420
W13313,4,2,3,1348
W13314,4,1,1,601
W13316,2333,60,3685,1858113
W13317,620,40,527,227288
W13319,8,2,4,2414
W13320,107,29,75,51688
W13321,48,16,19,9849
W13323,7,3,1,1001
W13325,17,2,1,437
W13327,27,18,33,10698
W13329,18,2,3,1826
W13330,11,8,6,5311
W13331,2,1,1,1575
W13332,4,2,1,1583
W13333,287,27,148,61167
W13334,2,5,2,2260
W13335,4,1,1,406
W13336,4,1,1,512
W13337,15,8,5,5039
W13338,24,13,18,17221
W13339,137,23,38,18402
W13340,71,24,68,68298
W13341,19,15,29,15059
W13343,1,1,1,477
W13345,130,31,51,34556
W13346,3,8,2,3174
W13347,24,13,31,15381
W13348,21,13,12,8564
W13349,74,24,44,47909
W13350,1,1,1,1608
W13351,94,24,31,21688
W13352,59,22,50,44072
W13353,323,32,89,77234
W13355,10,12,5,3746
W13356,2,1,1,709
W13357,6,2,3,1181
W13358,67,28,62,58319
W13359,4,6,3,3827
W13360,59,24,44,41578
W13361,129,23,20,20621
W13362,44,23,32,17986
W13363,11,3,1,602
W13364,8,15,11,13709
W13365,4,1,1,1201
W13366,40,17,18,20163
W13367,3,4,11,3892
W13368,4,5,4,3926
W13369,3,1,1,803
W13370,3,1,1,1687
W13371,4,1,1,1559
W13372,139,29,215,75474
W13373,49,17,31,17416
W13374,18,12,9,6623
W13375,6,1,1,0
W13376,2,6,1,1685
W13377,16,10,6,7016
W13379,1,1,1,415
W13380,83,27,112,69364
W13383,6,1,1,463
W13384,307,41,434,199857
W13385,25,11,13,8050
W13386,8,13,7,7728
W13388,3,6,3,4372
W13390,8,1,2,786
W13391,18,9,4,5989
W13392,11,15,8,4864
W13393,9,1,2,2148
W13394,1,1,1,1008
W13396,10,1,2,1131
W13397,1,1,1,1461
W13398,6,1,1,552
W13399,6,10,8,8058
W13400,155,41,229,173039
W13401,15,1,4,2943
W13403,5,2,2,615
W13404,206,32,152,73861
W13405,8,6,3,3863
W13406,26,16,14,14014
W13407,6,3,4,2154
W13408,53,16,13,7281
W13409,121,30,51,58467
W13410,19,15,2,2178
W13411,19,13,12,13756
W13412,2,1,1,1533
W13414,2,5,1,1588
W13415,557,31,79,75420
W13417,2081,43,991,425117
W13418,4,5,2,1620
W13419,340,39,551,219671
W13423,107,29,138,78471
W13424,14,5,1,1681
W13425,2,1,1,1439
W13426,8,15,7,9983
W13427,8,6,2,1812
W13428,43,11,5,6478
W13429,14,12,13,11783
W13430,392,40,276,116471
W13432,25,9,6,5399
W13433,48,12,31,13282
W13435,2,5,3,3962
W13437,34,19,9,9633
W13438,13,12,6,7990
W13440,29,14,6,3368
W13441,77,21,49,22217
W13442,41,14,1,1595
W13443,2,1,1,1269
W13444,1,1,1,1582
W13445,189,22,38,28508
W13446,72,25,64,33763
W13447,7,10,6,5182
W13448,4,1,2,1151
W13449,12,15,27,19202
W13450,2,1,1,1502
W13451,4,8,4,3471
W13452,97,34,123,119663
W13453,31,5,5,2457
W13455,5,7,3,2279
W13457,11,14,7,7456
W13458,4,5,1,1565
W13459,650,38,248,174274
W13460,32,12,16,9717
W13461,53,24,40,18503
W13462,11,8,2,2905
W13463,33,28,60,43200
W13464,34,15,23,12690
W13465,109,24,68,37726
W13466,5,6,1,1598
W13467,73,19,61,27872
W13468,5,1,3,1769
W13469,11,14,4,4381
W13470,45,17,9,6621
W13471,21,17,22,11892
W13472,37,15,8,7693
W13474,2,1,1,1662
W13475,230,26,266,99594
W13476,1166,57,2179,1288126
W13477,14,13,23,22131
W13479,5,7,3,2512
W13480,1,1,1,1523
W13481,553,43,673,339886
W13482,4,5,3,2840
W13484,10,6,2,3280
W13485,7,8,5,3949
W13486,4,6,2,1797
W13487,218,43,297,239020
W13488,11,5,4,3095
W13489,2907,51,1625,749918
W13491,21,10,4,5990
W13492,18,14,7,6573
W13493,28,18,35,19129
W13495,63,12,23,11381
W13496,27,12,9,8254
W13497,35,19,16,11871
W13498,13,13,12,10619
W13499,148,44,375,254909
W13501,4,9,3,4902
W13502,18,12,6,4182
W13503,132,30,119,83102
W13504,13,21,16,14874
W13505,226,29,172,70379
W13506,3,1,1,0
W13507,70,18,42,30175
W13508,55,22,34,19506
W13510,19,11,55,32044
W13511,98,29,121,66201
W13512,107,31,118,70317
W13513,48,19,37,19664
W13514,61,28,79,64360
W13515,492,34,98,57718
W13516,5,1,2,820
W13517,8,8,1,63
W13518,738,45,842,427431
W13519,23,1,1,1437
W13520,5,13,7,10535
W13521,12,13,5,3329
W13522,19,16,9,10477
W13523,4,1,1,629
W13525,14,13,14,10483
W13526,17,11,1,1590
W13527,18,15,18,10826
W13528,7,10,6,7096
W13529,6,6,1,1383
W13530,18,5,6,2973
W13532,51,22,25,31350
W13534,7,5,3,2837
W13535,11,15,15,14335
W13536,79,25,61,38871
W13537,354,22,169,78879
W13538,12,12,9,9424
W13539,5,6,5,3981
W13540,3435,61,6163,2688789
W13541,8,2,1,104
W13542,35,17,6,4732
W13543,15,17,14,14922
W13545,9,4,1,1574
W13546,35,23,33,21367
W13547,729,33,135,85332
W13548,2,1,2,1799
W13550,30,15,19,9681
W13551,17,6,5,5430
W13554,7,1,3,2900
W13555,4,6,1,1581
W13556,274,34,317,147317
W13557,32,10,6,6524
W13559,7,12,8,7630
W13560,24,14,2,1067
W13561,2,1,1,1635
W13562,5,1,1,749
W13564,225,34,127,80504
W13565,9,17,20,14682
W13566,2,4,1,1540
W13567,6,15,15,12249
W13568,21,14,13,9568
W13569,7,7,5,6248
W13570,6,3,1,383
W13572,7,8,3,3145
W13574,3,2,1,535
W13575,1,1,1,1529
W13576,6,12,9,9767
W13577,10,16,17,10546
W13578,38,14,25,13044
W13579,2,3,1,1373
W13580,328,46,683,397211
W13581,177,29,57,40571
W13582,2,1,1,986
W13584,16,24,16,18455
W13586,12,11,4,4522
W13588,10,1,1,1398
W13589,7,1,2,903
W13590,15,12,18,9135
W13591,72,36,204,189855
W13592,14,8,2,2923
W13593,6,5,4,4325
W13594,54,21,68,35227
W13596,19,12,19,11875
W13597,72,24,43,33601
W13598,176,32,147,74391
W13600,2,1,2,2525
W13601,5,6,2,2166
W13602,46,26,43,40647
W13603,3,4,1,1594
W13604,57,31,152,87751
W13606,5,7,2,3127
W13607,19,10,6,5261
W13609,54,5,5,4005
W13612,4,7,2,1994
W13613,21,8,14,9129
W13616,626,48,1426,599934
W13618,13,8,8,4547
W13619,87,28,86,79134
W13620,349,54,1147,583810
W13621,4,6,1,1516
W13623,241,34,460,131068
W13624,5,16,16,15356
W13626,30,17,28,15819
W13628,39,8,4,4111
W13629,32,13,13,14704
W13630,285,32,194,111068
W13632,12,6,2,1973
W13633,48,23,60,33759
W13634,4,5,1,1510
W13635,23,17,9,5095
W13636,65,28,115,69606
W13637,3,1,1,665
W13638,75,24,96,37837
W13639,2,6,2,2989
W13640,11,6,2,2030
W13641,35,17,17,11678
W13642,3,1,1,1214
W13643,6,7,5,2457
W13644,19,10,6,5017
W13645,11,5,1,575
W13647,9,9,12,5286
W13648,8,16,24,13407
W13649,5,1,2,2711
W13651,6,13,6,6219
W13652,16,10,6,8634
W13653,6888,65,4596,2649062
W13654,10,12,4,5383
W13655,61,10,18,13248
W13656,32,18,14,10137
W13657,33,21,25,17897
W13658,4,4,3,2201
W13659,8,3,3,2040
W13660,6,9,9,5989
W13661,10,14,9,13752
W13662,47,19,106,40255
W13663,35,18,29,13211
W13664,26,24,25,24357
W13665,5,4,2,1887
W13667,457,27,134,54209
W13668,14,11,8,9575
W13669,2,1,2,1194
W13671,6,10,3,4607
W13672,5,6,1,1586
W13673,7,8,7,6707
W13674,8,9,5,3705
W13675,901,48,1640,577743
W13677,167,28,127,102947
W13678,8,6,2,1686
W13679,11,13,12,13072
W13680,19,16,24,16319
W13681,3,1,1,89
W13682,5,1,2,206
W13683,8,1,1,89
W13684,117,31,238,118776
W13685,115,26,67,36488
W13686,287,38,379,167167
W13688,12,5,3,1977
W13689,59,22,74,29207
W13690,13,16,14,14061
W13691,2,1,1,1306
W13692,11,12,8,6998
W13693,193,31,356,99646
W13694,64,18,24,19515
W13695,570,43,395,231434
W13696,8,10,6,7178
W13697,3,1,2,1853
W13698,4,9,2,3124
W13699,14,10,6,6283
W13700,6,2,6,3098
W13701,18,16,19,13627
W13702,24,13,19,12085
W13703,13,8,4,2980
W13704,3,5,2,2344
W13705,20,20,33,21740
W13706,14,12,5,6339
W13707,4,2,1,1190
W13708,101,22,98,81840
W13709,9,2,5,1608
W13710,29,14,18,9875
W13711,16,2,4,2858
W13712,18,8,6,6127
W13713,19,11,13,4231
W13714,5,1,1,700
W13715,20,11,15,10128
W13716,9,7,5,3869
W13717,11,6,6,2999
W13718,4,1,1,715
W13719,16,1,1,531
W13720,25,19,17,12541
W13721,8,1,3,1196
W13722,173,10,10,8133
W13723,9,1,1,434
W13724,8,1,8,3686
W13725,7,1,1,1455
W13726,49,13,2,2002
W13727,4,1,1,1688
W13729,14,16,31,18255
W13730,19,6,3,3936
W13731,548,43,691,340386
W13732,4,1,1,435
W13733,35,10,11,7226
W13734,5,1,1,775
W13735,363,40,676,296831
W13738,32,18,7,7117
W13739,27,19,26,15036
W13741,16,23,29,35125
W13743,5,6,2,2194
W13744,5,1,1,638
W13745,3,4,6,3018
W13746,29,10,12,7467
W13747,10,3,4,897
W13748,157,8,4,5006
W13750,4,1,4,2755
W13751,22,11,27,18292
W13752,23,16,23,11472
W13756,83,17,97,29826
W13757,8,10,6,6316
W13758,63,29,66,42841
W13760,7,10,4,3202
W13761,8,13,12,7902
W13762,5,1,4,2914
W13763,50,21,22,26966
W13764,13,16,6,5113
W13766,2,5,1,1544
W13767,36,15,13,8667
W13768,38,25,46,29618
W13769,4,5,2,3152
W13770,42,21,49,35893
W13771,4,4,2,1738
W13773,7,6,1,1519
W13774,1,1,1,1573
W13775,7,6,2,1440
W13776,1,1,1,580
W13777,33,14,5,3042
W13778,76,41,157,187809
W13779,2,6,5,2825
W13781,7,10,6,8277
W13782,99,32,154,79712
W13783,1,1,1,1499
W13785,53,20,47,37359
W13786,5,8,1,235
W13787,275,41,327,277425
W13788,37,17,22,13110
W13789,25,17,28,16102
W13790,27,25,19,21684
W13791,13,5,13,10974
W13792,3,6,1,1563
W13793,4,1,3,2512
W13795,175,30,274,103541
W13796,24,18,18,18139
W13797,3,9,9,8753
W13798,10,11,4,5599
W13799,25,17,15,8625
W13800,5,1,1,762
W13801,191,30,61,85883
W13802,5,1,2,2381
W13805,3,6,3,1816
W13806,24,18,26,15897
W13807,11,1,6,3782
W13808,13,15,11,10002
W13809,126,27,27,10354
W13810,732,64,2180,2031962
W13811,39,14,33,18571
W13812,10,8,7,5328
W13813,94,26,95,49096
W13814,62,21,50,33003
W13815,69,26,59,42961
W13816,2,10,14,10470
W13817,7,8,5,2656
W13818,3,8,2,2405
W13819,51,28,51,48156
W13820,30,26,51,42544
W13821,29,26,74,52774
W13822,219,44,246,275031
W13823,96,15,11,6795
W13824,20,7,9,6455
W13825,12,1,2,2407
W13827,94,11,77,27648
W13828,5,6,2,2659
W13829,43,16,31,20365
W13830,189,25,117,62083
W13831,19,1,1,554
W13833,152,37,172,122059
W13835,10,10,11,9882
W13836,9,4,2,1383
W13838,7,7,3,4063
W13839,10,18,9,11422
W13841,5,10,8,6258
W13843,5,1,2,1415
W13844,3,2,3,1770
W13845,1,1,1,102
W13846,11,16,17,9527
W13849,55,24,48,46314
W13850,9,2,1,137
W13852,5,1,5,5066
W13854,4,1,1,417
W13855,869,40,267,148999
W13856,5,1,1,817
W13858,30,22,77,44907
W13859,34,14,14,11354
W13860,6,1,2,792
W13862,4,1,2,870
W13863,135,20,97,41774
W13864,4,6,1,1708
W13865,13,3,2,1802
W13866,29,12,6,8060
W13867,15,4,2,732
W13869,29,17,17,14146
W13870,38,9,2,2930
W13871,7,1,1,1535
W13872,25,3,8,1865
W13875,4,1,1,669
W13876,218,28,165,67633
W13877,24,13,10,12866
W13879,10,15,8,7354
W13880,5,1,1,458
W13881,35,19,34,21141
W13883,21,19,22,16146
W13884,64,26,80,43142
W13885,10,5,6,3609
W13886,4,1,2,1515
W13887,3,1,3,2511
W13888,65,23,40,21419
W13889,16,10,7,5464
W13892,12,2,2,1654
W13893,7,5,2,946
W13894,4,2,1,180
W13895,5,4,5,2701
W13896,1,1,1,1512
W13897,37,19,33,21771
W13898,22,11,13,6658
W13900,2,6,6,4395
W13901,4,1,1,504
W13902,3,2,1,675
W13903,12,10,9,7012
W13904,3,1,3,3003
W13905,7,2,2,610
W13907,179,39,144,151996
W13908,55,16,16,15241
W13910,35,18,21,14963
W13911,149,32,65,47486
W13913,2,1,1,707
W13914,1955,60,2759,1337685
W13915,1,1,1,1512
W13916,132,1,2,2026
W13920,5,6,1,1559
W13921,26,11,18,6342
W13922,5,9,4,5663
W13923,51,31,65,62392
W13924,49,15,9,12792
W13925,10,11,9,10099
W13926,3,1,1,1680
W13927,35,7,5,5253
W13928,201,9,3,2101
W13929,199,25,79,33105
W13930,15,19,16,13676
W13931,49,11,8,8103
W13933,36,16,14,11574
W13934,9,13,9,7756
W13937,15,11,2,2968
W13938,5,1,1,962
W13940,11,12,16,10490
W13941,13,9,6,4539
W13942,39,19,19,10227
W13943,44,12,23,15732
W13944,66,18,24,15921
W13945,24,16,6,7322
W13946,11,17,7,10222
W13947,179,34,204,131536
W13949,303,40,148,196398
W13950,15,15,15,17608
W13951,566,51,710,533674
W13953,13,7,3,2593
W13954,38,21,17,17840
W13955,4,4,3,2920
W13956,44,18,29,12585
W13957,3,6,2,1958
W13958,4,13,5,8255
W13959,18,16,34,19435
W13960,28,6,3,3202
W13961,39,29,61,70364
W13962,36,27,95,62507
W13963,10,10,9,10552
W13964,5,1,3,1226
W13965,4,3,1,813
W13966,10,1,1,474
W13967,12,18,6,6412
W13968,18,18,17,14764
W13969,43,16,41,13059
W13971,3,2,1,659
W13972,9,9,2,2838
W13973,5,13,8,10059
W13974,36,16,14,13133
W13975,5,13,5,6955
W13977,5,7,6,4026
W13979,3,1,1,1530
W13980,18,11,7,8574
W13983,2,4,1,1401
W13985,300,37,213,133367
W13989,4,1,1,1060
W13991,23,10,3,2654
W13992,15,11,7,4941
W13993,14,10,27,11447
W13994,13,11,18,9190
W13995,11,17,14,16484
W13996,9,1,1,519
W13997,9,9,7,7438
W13998,2,1,1,1268
W13999,75,26,166,66702
W14000,3,1,1,189
W14001,40,17,50,24872
W14002,8,2,2,951
W14003,84,10,10,8846
W14004,7,6,3,2907
W14006,1,1,1,1527
W14007,150,32,296,128956
W14008,9,5,4,5065
W14009,19,17,21,11675
W14010,15,12,5,5142
W14011,21,13,4,3937
W14012,1,1,1,1643
W14013,617,49,582,453073
W14014,17,6,2,2855
W14016,5,6,2,2829
W14017,38,14,79,75734
W14018,217,35,172,96462
W14019,36,16,4,3766
W14020,86,22,25,15781
W14021,142,23,78,39579
W14022,5,1,1,535
W14023,3,8,6,6125
W14024,5,11,5,3873
W14025,124,26,243,96822
W14027,10,13,7,8137
W14029,6,6,2,1412
W14030,236,45,1220,524145
W14031,3,2,4,1959
W14032,16,14,12,10272
W14033,3,1,1,453
W14034,8,6,3,3441
W14035,4,1,1,364
W14036,4,1,1,1056
W14037,7,6,5,3325
W14038,19,10,13,5684
W14039,3,8,4,4862
W14040,2,5,3,1830
W14041,133,24,97,56830
W14042,50,16,120,140506
W14043,10,1,1,1409
W14044,2,7,2,2771
W14045,5,3,6,3987
W14046,26,18,18,19977
W14047,171,26,43,43389
W14048,342,19,65,21104
W14049,3,1,2,2901
W14050,10,20,21,23522
W14051,71,21,36,31406
W14053,3,8,3,4952
W14054,5,5,5,4848
W14055,119,28,47,33634
W14056,10,21,18,20183
W14058,5,1,1,60
W14059,9,13,6,5023
W14060,36,18,49,27302
W14061,5,8,2,3092
W14062,57,19,42,23035
W14063,2,1,1,115
W14064,55,28,34,38990
W14065,7,10,3,4703
W14066,21,19,16,16981
W14067,3,1,1,413
W14069,43,29,79,46464
W14070,28,18,15,18397
W14072,17,16,11,14784
W14073,10,14,11,12432
W14074,26,1,4,3827
W14075,34,2,2,1031
W14076,5,7,1,89
W14077,15,21,31,35110
W14078,10,5,3,3745
W14079,7,13,1,1604
W14081,14,10,4,2141
W14082,1787,37,3667,1382183
W14083,18,12,5,7836
W14084,1,1,1,1525
W14086,21,6,2,2761
W14087,8,1,1,814
W14088,4,1,1,565
W14089,1,1,1,795
W14093,7,5,1,775
W14094,7,5,5,4700
W14096,70,20,31,22941
W14097,451,36,199,63295
W14098,3,1,2,2450
W14099,6,1,2,2680
W14100,6,1,2,1212
W14101,4,1,1,89
